bin,begin_seconds,end_seconds,v5_mean_admitted_active_segments,control_mean_admitted_active_segments,v5_mean_source_pending_segments,control_mean_source_pending_segments,v5_excess_active,v5_to_control_active_ratio
152,45600,45900,120.968000000,109.846666667,1.054666667,0.853333333,11.121333333,1.101244159
153,45900,46200,107.404666667,110.189333333,11.738666667,5.428000000,-2.784666667,0.974728346
154,46200,46500,140.250666667,127.083333333,1.124666667,1.076666667,13.167333333,1.103611803
155,46500,46800,120.780000000,118.817333333,1.880000000,1.880000000,1.962666667,1.016518353
156,46800,47100,99.221333333,96.438666667,1.373333333,0.892666667,2.782666667,1.028854263
157,47100,47400,94.274000000,90.597333333,2.465333333,1.638000000,3.676666667,1.040582504
158,47400,47700,96.868666667,86.455333333,0.783333333,0.783333333,10.413333333,1.120447553
159,47700,48000,96.602000000,93.744666667,3.260000000,1.715333333,2.857333333,1.030479956
160,48000,48300,111.544000000,102.270666667,1.212666667,1.080000000,9.273333333,1.090674420
161,48300,48600,85.442000000,80.799333333,2.458666667,1.631333333,4.642666667,1.057459220
162,48600,48900,74.392666667,65.730000000,0.596666667,0.596666667,8.662666667,1.131791673
163,48900,49200,43.306666667,41.567333333,1.060000000,1.060000000,1.739333333,1.041843756
164,49200,49500,96.622000000,87.931333333,0.881333333,0.706666667,8.690666667,1.098834697
165,49500,49800,108.333333333,106.873333333,4.463333333,1.941333333,1.460000000,1.013661032
166,49800,50100,131.894666667,125.952666667,1.175333333,1.100000000,5.942000000,1.047176453
167,50100,50400,43.588666667,41.003333333,1.043333333,1.043333333,2.585333333,1.063051784
168,50400,50700,130.186000000,124.384000000,1.123333333,1.123333333,5.802000000,1.046645871
169,50700,51000,96.778000000,94.310666667,1.606666667,1.606666667,2.467333333,1.026161763
170,51000,51300,122.916666667,111.502000000,1.494000000,1.093333333,11.414666667,1.102371856
171,51300,51600,107.033333333,101.941333333,2.622000000,1.794666667,5.092000000,1.049950298
172,51600,51900,95.296000000,85.012000000,0.862000000,0.806666667,10.284000000,1.120971157
173,51900,52200,104.424666667,102.142666667,1.793333333,1.793333333,2.282000000,1.022341300
174,52200,52500,132.231333333,117.427333333,3.951333333,1.345333333,14.804000000,1.126069456
175,52500,52800,52.229333333,45.158000000,1.060000000,1.060000000,7.071333333,1.156590933
176,52800,53100,86.660666667,74.917333333,0.466666667,0.466666667,11.743333333,1.156750552
177,53100,53400,100.908000000,98.755333333,1.616666667,1.616666667,2.152666667,1.021797979
178,53400,53700,116.408666667,109.993333333,0.968000000,0.876666667,6.415333333,1.058324747
179,53700,54000,106.205333333,103.580666667,1.840000000,1.840000000,2.624666667,1.025339349
180,54000,54300,80.718666667,74.428666667,0.506666667,0.506666667,6.290000000,1.084510448
181,54300,54600,107.140666667,104.593333333,1.670000000,1.670000000,2.547333333,1.024354643
182,54600,54900,114.030000000,109.229333333,1.156666667,1.156666667,4.800666667,1.043950343
183,54900,55200,124.501333333,122.435333333,1.980666667,1.980000000,2.066000000,1.016874214
