decision_id,runtime_bag_id,task_id,segment_id,source_node,goal_node,original_arrival_time,java_arrival_epoch,release_time,source_queue_delay_seconds,raw_arrival_to_release_delta_seconds,source_queue_rank,mapping_source
trace_highflow_4p0:2627:556,66,2627,2627:direct:g4irsf11_c2:trace_highflow_4p0,0,50,20631.80348633623,20631,20631.80348633623,0.8034863362299802,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_4p0:2627:557,66,2627,2627:direct:g4irsf11_c2:trace_highflow_4p0,0,50,20631.80348633623,20631,20631.80348633623,0.8034863362299802,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_4p0:2627:558,66,2627,2627:direct:g4irsf11_c2:trace_highflow_4p0,0,50,20631.80348633623,20631,20631.80348633623,0.8034863362299802,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_4p0:2670:559,67,2670,2670:storage_in:g4irsf11_c3:trace_highflow_4p0,4,47,20674.354790449153,20674,20674.354790449153,0.35479044915337,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_4p0:2627:560,66,2627,2627:direct:g4irsf11_c2:trace_highflow_4p0,0,50,20631.80348633623,20631,20631.80348633623,0.8034863362299802,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_4p0:2670:561,67,2670,2670:storage_in:g4irsf11_c3:trace_highflow_4p0,4,47,20674.354790449153,20674,20674.354790449153,0.35479044915337,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_4p0:2670:562,67,2670,2670:storage_in:g4irsf11_c3:trace_highflow_4p0,4,47,20674.354790449153,20674,20674.354790449153,0.35479044915337,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_4p0:2627:563,66,2627,2627:direct:g4irsf11_c2:trace_highflow_4p0,0,50,20631.80348633623,20631,20631.80348633623,0.8034863362299802,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_4p0:2670:564,67,2670,2670:storage_in:g4irsf11_c3:trace_highflow_4p0,4,47,20674.354790449153,20674,20674.354790449153,0.35479044915337,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_4p0:1226:565,68,1226,1226:storage_out:g4irsf11_c3:trace_highflow_4p0,52,50,18540.842066547684,18540,20700.051086547683,2160.0510865476826,2159.2090199999984,0,g4irsf7_original_pass_time->pass_time
