sample_id,window_name,context,window_size,task_id,segment_id,current_node,goal_node,candidate_next_nodes,teacher_next_node,time_slack,local_node_time_window_pressure,teacher_static_remaining_hops,teacher_second_best_gap,teacher_downstream_pressure_2hop,teacher_downstream_pressure_3hop,teacher_goal_direction_score,teacher_historical_risk
g4d_move_0035451,g4d_offset64_static512,static_fault,512,521,521:storage_in,11,47,"[13, 14]",13,11216.4,0,5,0,0,0,11.2,1
g4d_move_0035469,g4d_offset64_static512,static_fault,512,528,528:storage_in,19,47,"[18, 25]",18,5524.4,0,5,0,0,1,2.8,1
g4d_move_0035481,g4d_offset64_static512,static_fault,512,529,529:storage_in,16,47,"[17, 21]",21,13324.25032,0,5,5.2,0,0,17.6,0
g4d_move_0035488,g4d_offset64_static512,static_fault,512,531,531:storage_in,16,47,"[17, 21]",21,5522.63028,0,5,5.2,0,0,17.6,0
g4d_move_0035496,g4d_offset64_static512,static_fault,512,530,530:storage_in,6,47,"[8, 12]",8,6720.8,0,7,3.2,0,1,-0.4,0
g4d_move_0035498,g4d_offset64_static512,static_fault,512,530,530:storage_in,11,47,"[13, 14]",13,6712.8,0,5,0,0,0,11.2,1
g4d_move_0035517,g4d_offset64_static512,static_fault,512,533,533:storage_in,19,47,"[18, 25]",25,5518.94941,0,9,27.2,0,0,-13.2,0
g4d_move_0035531,g4d_offset64_static512,static_fault,512,534,534:storage_in,11,47,"[13, 14]",13,12708.4,0,5,0,0,0,11.2,1
g4d_move_0035538,g4d_offset64_static512,static_fault,512,535,535:storage_in,19,47,"[18, 25]",18,5517.29248,0,5,0,0,1,2.8,1
g4d_move_0035550,g4d_offset64_static512,static_fault,512,536,536:storage_in,16,47,"[17, 21]",21,5516.34035,0,5,5.2,0,0,17.6,0
g4d_move_0035561,g4d_offset64_static512,static_fault,512,537,537:storage_in,11,47,"[13, 14]",13,11802.03009,0,5,0,0,0,11.2,1
g4d_move_0035569,g4d_offset64_static512,static_fault,512,538,538:storage_in,16,47,"[17, 21]",21,5513.4,0,5,5.2,0,0,17.6,0
g4d_move_0035577,g4d_offset64_static512,static_fault,512,539,539:storage_in,6,47,"[8, 12]",12,7910.87882,0,6,0,0,0,10,1
g4d_move_0035604,g4d_offset64_static512,static_fault,512,542,542:storage_in,11,47,"[13, 14]",14,12399.4,0,5,22,0,0,-9.2,0
g4d_move_0035614,g4d_offset64_static512,static_fault,512,543,543:storage_in,11,47,"[13, 14]",13,7895.32219,0,5,0,0,0,11.2,1
g4d_move_0035621,g4d_offset64_static512,static_fault,512,544,544:storage_in,6,47,"[8, 12]",8,8205.54551,0,7,3.2,0,1,-0.4,0
g4d_move_0035623,g4d_offset64_static512,static_fault,512,544,544:storage_in,11,47,"[13, 14]",13,8197.54551,0,5,0,0,0,11.2,1
g4d_move_0035632,g4d_offset64_static512,static_fault,512,545,545:storage_in,11,47,"[13, 14]",13,6693.71884,0,5,0,0,0,11.2,1
g4d_move_0035642,g4d_offset64_static512,static_fault,512,546,546:storage_in,11,47,"[13, 14]",13,6687.72458,0,5,0,0,0,11.2,1
g4d_move_0035657,g4d_offset64_static512,static_fault,512,548,548:storage_in,6,47,"[8, 12]",12,11793.8,0,6,0,0,0,10,1
g4d_move_0035665,g4d_offset64_static512,static_fault,512,549,549:storage_in,19,47,"[18, 25]",25,5494.77845,0,9,27.2,0,0,-13.2,0
g4d_move_0035678,g4d_offset64_static512,static_fault,512,550,550:storage_in,11,47,"[13, 14]",13,9684.15084,0,5,0,0,0,11.2,1
g4d_move_0035685,g4d_offset64_static512,static_fault,512,551,551:storage_in,16,47,"[17, 21]",21,9692.11782,0,5,5.2,0,0,17.6,0
g4d_move_0035699,g4d_offset64_static512,static_fault,512,553,553:storage_in,19,47,"[18, 25]",18,7586.91719,0,5,0,0,0,2.8,1
g4d_move_0035706,g4d_offset64_static512,static_fault,512,554,554:storage_in,19,47,"[18, 25]",25,7885.29683,0,9,27.2,0,0,-13.2,0
g4d_move_0035717,g4d_offset64_static512,static_fault,512,555,555:storage_in,16,47,"[17, 21]",21,7284.2213,0,5,5.2,0,0,17.6,0
g4d_move_0035731,g4d_offset64_static512,static_fault,512,557,557:storage_in,19,47,"[18, 25]",25,5476.25035,0,9,27.2,0,0,-13.2,0
g4d_move_0035742,g4d_offset64_static512,static_fault,512,558,558:storage_in,6,47,"[8, 12]",8,8474.32217,0,7,3.2,0,0,-0.4,0
g4d_move_0035744,g4d_offset64_static512,static_fault,512,558,558:storage_in,11,47,"[13, 14]",14,8466.32217,0,5,22,0,0,-9.2,0
g4d_move_0035751,g4d_offset64_static512,static_fault,512,559,559:storage_in,16,47,"[17, 21]",21,8474.63015,0,5,5.2,0,0,17.6,0
g4d_move_0035758,g4d_offset64_static512,static_fault,512,560,560:storage_in,16,47,"[17, 21]",21,7873.45113,0,5,5.2,0,0,17.6,0
g4d_move_0035767,g4d_offset64_static512,static_fault,512,561,561:storage_in,11,47,"[13, 14]",13,10863.25551,0,5,0,0,0,11.2,1
g4d_move_0035784,g4d_offset64_static512,static_fault,512,563,563:storage_in,11,47,"[13, 14]",13,7257.30489,0,5,0,0,0,11.2,1
g4d_move_0035791,g4d_offset64_static512,static_fault,512,564,564:storage_in,19,47,"[18, 25]",25,7869.39926,0,9,27.2,0,0,-13.2,0
g4d_move_0035802,g4d_offset64_static512,static_fault,512,565,565:storage_in,16,47,"[17, 21]",21,8466.73249,0,5,5.2,0,0,17.6,0
g4d_move_0035816,g4d_offset64_static512,static_fault,512,567,567:storage_in,6,47,"[8, 12]",8,9963.65551,0,7,3.2,0,0,-0.4,0
g4d_move_0035818,g4d_offset64_static512,static_fault,512,567,567:storage_in,11,47,"[13, 14]",14,9955.65551,0,5,22,0,0,-9.2,0
g4d_move_0035839,g4d_offset64_static512,static_fault,512,569,569:storage_in,11,47,"[13, 14]",14,6652.62685,0,5,22,0,0,-9.2,0
g4d_move_0035846,g4d_offset64_static512,static_fault,512,570,570:storage_in,19,47,"[18, 25]",18,6661.29247,0,5,0,0,0,2.8,1
g4d_move_0035856,g4d_offset64_static512,static_fault,512,571,571:storage_in,11,47,"[13, 14]",13,12347.36019,0,5,0,0,0,11.2,1
g4d_move_0035863,g4d_offset64_static512,static_fault,512,572,572:storage_in,16,47,"[17, 21]",21,6658.62576,0,5,5.2,0,0,17.6,0
g4d_move_0035870,g4d_offset64_static512,static_fault,512,573,573:storage_in,6,47,"[8, 12]",12,12055.69351,0,6,0,0,0,10,1
g4d_move_0035887,g4d_offset64_static512,static_fault,512,575,575:storage_in,11,47,"[13, 14]",14,10244.81197,0,5,22,0,0,-9.2,0
g4d_move_0035894,g4d_offset64_repair512,repair_window,512,64,64:storage_in,16,47,"[17, 21]",17,12122.76023,0,6,0,0,0,3.6,1
g4d_move_0035902,g4d_offset64_repair512,repair_window,512,65,65:storage_in,6,47,"[8, 12]",12,12419.86223,0,6,0,0,0,10,1
g4d_move_0035920,g4d_offset64_repair512,repair_window,512,67,67:storage_in,11,47,"[13, 14]",13,13908.81218,0,5,0,0,0,11.2,1
g4d_move_0035927,g4d_offset64_repair512,repair_window,512,68,68:storage_in,19,47,"[18, 25]",25,12117.29682,0,9,27.2,0,0,-13.2,0
g4d_move_0035938,g4d_offset64_repair512,repair_window,512,69,69:storage_in,16,47,"[17, 21]",17,12414.73258,0,6,0,0,0,3.6,1
g4d_move_0035949,g4d_offset64_repair512,repair_window,512,70,70:storage_in,11,47,"[13, 14]",13,10900.69352,0,5,0,0,0,11.2,1
g4d_move_0035964,g4d_offset64_repair512,repair_window,512,73,73:storage_in,19,47,"[18, 25]",25,9709.42701,0,9,27.2,0,0,-13.2,0
g4d_move_0035976,g4d_offset64_repair512,repair_window,512,72,72:storage_in,6,47,"[8, 12]",12,10906.8,0,6,0,0,0,10,1
g4d_move_0035986,g4d_offset64_repair512,repair_window,512,74,74:storage_in,11,47,"[13, 14]",13,12097.96018,0,5,0,0,0,11.2,1
g4d_move_0035993,g4d_offset64_repair512,repair_window,512,75,75:storage_in,16,47,"[17, 21]",21,10906.62583,0,5,5.2,0,0,17.6,0
g4d_move_0036003,g4d_offset64_repair512,repair_window,512,76,76:storage_in,11,47,"[13, 14]",14,12092.87859,0,5,22,0,0,-9.2,0
g4d_move_0036010,g4d_offset64_repair512,repair_window,512,77,77:storage_in,16,47,"[17, 21]",17,11977.39919,0,6,0,0,0,3.6,1
g4d_move_0036021,g4d_offset64_repair512,repair_window,512,78,78:storage_in,11,47,"[13, 14]",13,10937.15006,0,5,0,0,0,11.2,1
g4d_move_0036036,g4d_offset64_repair512,repair_window,512,80,80:storage_in,6,47,"[8, 12]",12,13343.95472,0,6,0,0,0,10,1
g4d_move_0036044,g4d_offset64_repair512,repair_window,512,81,81:storage_in,19,47,"[18, 25]",25,13345.55472,0,9,27.2,0,0,-13.2,0
g4d_move_0036062,g4d_offset64_repair512,repair_window,512,83,83:storage_in,16,47,"[17, 21]",17,9140.11172,0,6,0,0,0,3.6,1
g4d_move_0036072,g4d_offset64_repair512,repair_window,512,85,85:storage_in,11,47,"[13, 14]",13,10927.29351,0,5,0,0,0,11.2,1
g4d_move_0036087,g4d_offset64_repair512,repair_window,512,86,86:storage_in,19,47,"[18, 25]",25,13334.88783,0,9,27.2,0,0,-13.2,0
g4d_move_0036098,g4d_offset64_repair512,repair_window,512,87,87:storage_in,16,47,"[17, 21]",17,11232.22131,0,6,0,0,0,3.6,1
g4d_move_0036109,g4d_offset64_repair512,repair_window,512,88,88:storage_in,11,47,"[13, 14]",13,12119.36017,0,5,0,0,0,11.2,1
g4d_move_0036125,g4d_offset64_repair512,repair_window,512,90,90:storage_in,6,47,"[8, 12]",8,12125.8,0,7,3.2,0,0,-0.4,0
g4d_move_0036127,g4d_offset64_repair512,repair_window,512,90,90:storage_in,11,47,"[13, 14]",14,12117.8,0,5,22,0,0,-9.2,0
g4d_move_0036149,g4d_offset64_repair512,repair_window,512,92,92:storage_in,11,47,"[13, 14]",13,13915.90484,0,5,0,0,0,11.2,1
g4d_move_0036159,g4d_offset64_repair512,repair_window,512,93,93:storage_in,11,47,"[13, 14]",13,13608.87884,0,5,0,0,0,11.2,1
g4d_move_0036166,g4d_offset64_repair512,repair_window,512,94,94:storage_in,19,47,"[18, 25]",18,12119.95914,0,5,0,0,0,2.8,1
g4d_move_0036174,g4d_offset64_repair512,repair_window,512,95,95:storage_in,6,47,"[8, 12]",12,11516.8,0,6,0,0,0,10,1
g4d_move_0036182,g4d_offset64_repair512,repair_window,512,96,96:storage_in,16,47,"[17, 21]",21,12117.39925,0,5,5.2,0,0,17.6,0
g4d_move_0036191,g4d_offset64_repair512,repair_window,512,97,97:storage_in,11,47,"[13, 14]",13,10905.92218,0,5,0,0,0,11.2,1
g4d_move_0036213,g4d_offset64_repair512,repair_window,512,99,99:storage_in,11,47,"[13, 14]",13,13300.69356,0,5,0,0,0,11.2,1
g4d_move_0036220,g4d_offset64_repair512,repair_window,512,100,100:storage_in,19,47,"[18, 25]",18,13611.96349,0,5,0,0,1,2.8,1
g4d_move_0036233,g4d_offset64_repair512,repair_window,512,101,101:storage_in,6,47,"[8, 12]",8,13307.69243,0,7,3.2,0,0,-0.4,0
g4d_move_0036235,g4d_offset64_repair512,repair_window,512,101,101:storage_in,11,47,"[13, 14]",14,13299.69243,0,5,22,0,0,-9.2,0
g4d_move_0036242,g4d_offset64_repair512,repair_window,512,102,102:storage_in,16,47,"[17, 21]",21,11509.29243,0,5,5.2,0,0,17.6,0
g4d_move_0036252,g4d_offset64_repair512,repair_window,512,103,103:storage_in,11,47,"[13, 14]",13,11794.4,0,5,0,0,0,11.2,1
g4d_move_0036261,g4d_offset64_repair512,repair_window,512,104,104:storage_in,11,47,"[13, 14]",13,11483.9655,0,5,0,0,0,11.2,1
g4d_move_0036271,g4d_offset64_repair512,repair_window,512,105,105:storage_in,11,47,"[13, 14]",13,13462.72779,0,5,0,0,0,11.2,1
g4d_move_0036362,g4d_offset64_repair512,repair_window,512,118,118:storage_in,19,47,"[18, 25]",18,10956.22115,0,5,0,0,0,2.8,1
g4d_move_0036369,g4d_offset64_repair512,repair_window,512,119,119:storage_in,16,47,"[17, 21]",17,11248.25034,0,6,0,0,0,3.6,1
g4d_move_0036385,g4d_offset64_repair512,repair_window,512,121,121:storage_in,19,47,"[18, 25]",25,8542.91701,0,9,27.2,0,0,-13.2,0
g4d_move_0036396,g4d_offset64_repair512,repair_window,512,122,122:storage_in,16,47,"[17, 21]",17,8540.25041,0,6,0,0,0,3.6,1
g4d_move_0036405,g4d_offset64_repair512,repair_window,512,123,123:storage_in,6,47,"[8, 12]",8,13334.8,0,7,3.2,0,0,-0.4,0
g4d_move_0036407,g4d_offset64_repair512,repair_window,512,123,123:storage_in,11,47,"[13, 14]",14,13326.8,0,5,22,0,0,-9.2,0
g4d_move_0036430,g4d_offset64_repair512,repair_window,512,126,126:storage_in,19,47,"[18, 25]",25,13334.91709,0,9,27.2,0,0,-13.2,0
g4d_move_0036443,g4d_offset64_repair512,repair_window,512,127,127:storage_in,11,47,"[13, 14]",13,12724.58884,0,5,0,0,0,11.2,1
g4d_move_0036450,g4d_offset64_repair512,repair_window,512,128,128:storage_in,19,47,"[18, 25]",25,8533.42709,0,9,27.2,0,0,-13.2,0
