scenario,context,teacher_source,decision_ordinal,task_decision_ordinal,segment_id,task_id,current,next_label,goal,ready_time,route_suffix,label_kind,label_source,fault_state,repair_state,constraint_summary,candidate_next_nodes,safe_next_nodes,label_in_candidate,label_in_safe_mask,label_block_reason,executed_next,executed_kind,replay_action
legacy_offset64_merge32,merge_group,python_faithful_legacy_astar_event_trace,118,13,74:storage_in,74,27,28,47,12528.639820000002,27 28 47,move,python_faithful_legacy_astar,none,none,fault_edges=none|fault_windows=none|node_capacities=none|merge_groups=13->23:9;18->22:9,28 45,,True,False,edge_capacity,27,hold,shield_hold
legacy_offset64_merge32,merge_group,python_faithful_legacy_astar_event_trace,123,17,75:storage_in,75,27,28,47,12533.974170000001,27 28 47,move,python_faithful_legacy_astar,none,none,fault_edges=none|fault_windows=none|node_capacities=none|merge_groups=13->23:9;18->22:9,28 45,,True,False,edge_capacity,27,hold,shield_hold
legacy_offset64_merge32,merge_group,python_faithful_legacy_astar_event_trace,125,18,75:storage_in,75,27,28,47,12534.974170000001,27 28 47,move,python_faithful_legacy_astar,none,none,fault_edges=none|fault_windows=none|node_capacities=none|merge_groups=13->23:9;18->22:9,28 45,,True,False,edge_capacity,,none,mark_unplanned
legacy_offset64_merge32,merge_group,python_faithful_legacy_astar_event_trace,126,17,76:storage_in,76,27,28,47,12536.721410000004,27 28 47,move,python_faithful_legacy_astar,none,none,fault_edges=none|fault_windows=none|node_capacities=none|merge_groups=13->23:9;18->22:9,28 45,,True,False,edge_capacity,27,hold,shield_hold
legacy_offset64_merge32,merge_group,python_faithful_legacy_astar_event_trace,127,18,76:storage_in,76,27,28,47,12537.721410000004,27 28 47,move,python_faithful_legacy_astar,none,none,fault_edges=none|fault_windows=none|node_capacities=none|merge_groups=13->23:9;18->22:9,28 45,,True,False,edge_capacity,27,hold,shield_hold
legacy_offset64_merge32,merge_group,python_faithful_legacy_astar_event_trace,128,19,76:storage_in,76,27,28,47,12538.721410000004,27 28 47,move,python_faithful_legacy_astar,none,none,fault_edges=none|fault_windows=none|node_capacities=none|merge_groups=13->23:9;18->22:9,28 45,,True,False,edge_capacity,27,hold,shield_hold
legacy_offset64_merge32,merge_group,python_faithful_legacy_astar_event_trace,129,20,76:storage_in,76,27,28,47,12539.721410000004,27 28 47,move,python_faithful_legacy_astar,none,none,fault_edges=none|fault_windows=none|node_capacities=none|merge_groups=13->23:9;18->22:9,28 45,,True,False,edge_capacity,27,hold,shield_hold
legacy_offset64_merge32,merge_group,python_faithful_legacy_astar_event_trace,153,3,81:storage_in,81,18,22,47,13058.24528,18 22 24 27 28 47,move,python_faithful_legacy_astar,none,none,fault_edges=none|fault_windows=none|node_capacities=none|merge_groups=13->23:9;18->22:9,22,,True,False,edge_capacity+merge_group,18,hold,shield_hold
legacy_offset64_merge32,merge_group,python_faithful_legacy_astar_event_trace,155,4,81:storage_in,81,18,22,47,13059.24528,18 22 24 27 28 47,move,python_faithful_legacy_astar,none,none,fault_edges=none|fault_windows=none|node_capacities=none|merge_groups=13->23:9;18->22:9,22,,True,False,edge_capacity+merge_group,18,hold,shield_hold
legacy_offset64_merge32,merge_group,python_faithful_legacy_astar_event_trace,156,1,84:storage_in,84,4,17,47,13059.8454,4 17 18 22 24 27 28 47,move,python_faithful_legacy_astar,none,none,fault_edges=none|fault_windows=none|node_capacities=none|merge_groups=13->23:9;18->22:9,17,,True,False,edge_capacity,4,hold,shield_hold
