map,scale,arm,full_reference_arm,metric,metric_label,preferred_direction,comparison_status,arm_value,full_s4_value,delta_arm_minus_full_s4,binary_sha256_match,base_full_s4_request_sha256_match,workload_sha256_match,population_contract_match
nanning,2,H_PLUS_Q_PLUS_I,FULL_S4,tardiness_p95_seconds,fixed-horizon tardiness P95 (s),lower,MISSING_OR_INVALID_ARM,31295.58094850002,32344.402479000004,NA,NA,NA,NA,NA
nanning,2,H_PLUS_Q_PLUS_I,FULL_S4,tardiness_p99_seconds,fixed-horizon tardiness P99 (s),lower,MISSING_OR_INVALID_ARM,45159.0,44561.11580450032,NA,NA,NA,NA,NA
nanning,2,H_PLUS_Q_PLUS_I,FULL_S4,backlog_area_seconds,raw-bag backlog area (bag-s),lower,MISSING_OR_INVALID_ARM,821479954.933493,777998374.6485779,NA,NA,NA,NA,NA
nanning,2,H_PLUS_Q_PLUS_I,FULL_S4,backlog_peak,raw-bag peak backlog,lower,MISSING_OR_INVALID_ARM,15949,15268,NA,NA,NA,NA,NA
nanning,2,H_PLUS_Q_PLUS_I,FULL_S4,backlog_end,raw-bag end backlog,lower,MISSING_OR_INVALID_ARM,953,0,NA,NA,NA,NA,NA
nanning,2,FULL_MINUS_WC,FULL_S4,completed_raw_bag_count,completed raw bags,higher,MISSING_OR_INVALID_ARM,NA,57012,NA,NA,NA,NA,NA
nanning,2,FULL_MINUS_WC,FULL_S4,completion_rate,completion rate,higher,MISSING_OR_INVALID_ARM,NA,1.0,NA,NA,NA,NA,NA
nanning,2,FULL_MINUS_WC,FULL_S4,on_time_raw_bag_count,on-time raw bags,higher,MISSING_OR_INVALID_ARM,NA,20963,NA,NA,NA,NA,NA
nanning,2,FULL_MINUS_WC,FULL_S4,on_time_rate,on-time rate,higher,MISSING_OR_INVALID_ARM,NA,0.3676945204518347,NA,NA,NA,NA,NA
nanning,2,FULL_MINUS_WC,FULL_S4,missed_bag_count,missed raw bags,lower,MISSING_OR_INVALID_ARM,NA,36049,NA,NA,NA,NA,NA
nanning,2,FULL_MINUS_WC,FULL_S4,missed_bag_rate,missed rate,lower,MISSING_OR_INVALID_ARM,NA,0.6323054795481653,NA,NA,NA,NA,NA
nanning,2,FULL_MINUS_WC,FULL_S4,tardiness_sum_seconds,fixed-horizon tardiness sum (s),lower,MISSING_OR_INVALID_ARM,NA,537025170.3447227,NA,NA,NA,NA,NA
nanning,2,FULL_MINUS_WC,FULL_S4,tardiness_mean_seconds,fixed-horizon tardiness mean (s),lower,MISSING_OR_INVALID_ARM,NA,9419.511161592696,NA,NA,NA,NA,NA
nanning,2,FULL_MINUS_WC,FULL_S4,tardiness_p95_seconds,fixed-horizon tardiness P95 (s),lower,MISSING_OR_INVALID_ARM,NA,32344.402479000004,NA,NA,NA,NA,NA
nanning,2,FULL_MINUS_WC,FULL_S4,tardiness_p99_seconds,fixed-horizon tardiness P99 (s),lower,MISSING_OR_INVALID_ARM,NA,44561.11580450032,NA,NA,NA,NA,NA
nanning,2,FULL_MINUS_WC,FULL_S4,backlog_area_seconds,raw-bag backlog area (bag-s),lower,MISSING_OR_INVALID_ARM,NA,777998374.6485779,NA,NA,NA,NA,NA
nanning,2,FULL_MINUS_WC,FULL_S4,backlog_peak,raw-bag peak backlog,lower,MISSING_OR_INVALID_ARM,NA,15268,NA,NA,NA,NA,NA
nanning,2,FULL_MINUS_WC,FULL_S4,backlog_end,raw-bag end backlog,lower,MISSING_OR_INVALID_ARM,NA,0,NA,NA,NA,NA,NA
