candidate,margin_threshold,historical_risk_threshold,bottleneck_threshold,learned_rule_count,planned_count,teacher_planned_count,node_window_conflicts,wrong_high_confidence_actions,fallback_calls,fallback_rate_by_interface,fallback_rate_by_task,a_star_call_reduction,model_only_task_count,zero_fallback_task_share,teacher_planned_scope_match
hardcase_rules,5,0.85,2,0,4449,4449,0,0,11235,0.28578333,1,0.29125662,0,0,True
threshold_only,5,0.85,5,0,4449,4449,0,0,6786,0.17261466,1,0.57191522,0,0,True
hardcase_rules,5,0.85,5,0,4449,4449,0,0,6786,0.17261466,1,0.57191522,0,0,True
threshold_only,5,0.85,99,0,4449,4449,0,0,6786,0.17261466,1,0.57191522,0,0,True
hardcase_rules,5,0.85,99,0,4449,4449,0,0,6786,0.17261466,1,0.57191522,0,0,True
threshold_only,5,0.95,2,0,4449,4449,0,0,11235,0.28578333,1,0.29125662,0,0,True
hardcase_rules,5,0.95,2,0,4449,4449,0,0,11235,0.28578333,1,0.29125662,0,0,True
threshold_only,5,0.95,5,0,4449,4449,0,0,6786,0.17261466,1,0.57191522,0,0,True
hardcase_rules,5,0.95,5,0,4449,4449,0,0,6786,0.17261466,1,0.57191522,0,0,True
threshold_only,5,0.95,99,0,4449,4449,0,0,6786,0.17261466,1,0.57191522,0,0,True
hardcase_rules,5,0.95,99,0,4449,4449,0,0,6786,0.17261466,1,0.57191522,0,0,True
threshold_only,5,0.99,2,0,4449,4449,0,0,11235,0.28578333,1,0.29125662,0,0,True
hardcase_rules,5,0.99,2,0,4449,4449,0,0,11235,0.28578333,1,0.29125662,0,0,True
threshold_only,5,0.99,5,0,4449,4449,0,0,6786,0.17261466,1,0.57191522,0,0,True
hardcase_rules,5,0.99,5,0,4449,4449,0,0,6786,0.17261466,1,0.57191522,0,0,True
threshold_only,5,0.99,99,0,4449,4449,0,0,6786,0.17261466,1,0.57191522,0,0,True
hardcase_rules,5,0.99,99,0,4449,4449,0,0,6786,0.17261466,1,0.57191522,0,0,True
threshold_only,6,0.5,2,0,4449,4449,0,0,11235,0.28578333,1,0.29125662,0,0,True
hardcase_rules,6,0.5,2,0,4449,4449,0,0,11235,0.28578333,1,0.29125662,0,0,True
threshold_only,6,0.5,5,0,4449,4449,0,0,10035,0.25525907,1,0.36695685,0,0,True
hardcase_rules,6,0.5,5,0,4449,4449,0,0,10035,0.25525907,1,0.36695685,0,0,True
threshold_only,6,0.5,99,0,4449,4449,0,0,10035,0.25525907,1,0.36695685,0,0,True
hardcase_rules,6,0.5,99,0,4449,4449,0,0,10035,0.25525907,1,0.36695685,0,0,True
threshold_only,6,0.7,2,0,4449,4449,0,0,11235,0.28578333,1,0.29125662,0,0,True
hardcase_rules,6,0.7,2,0,4449,4449,0,0,11235,0.28578333,1,0.29125662,0,0,True
threshold_only,6,0.7,5,0,4449,4449,0,0,10035,0.25525907,1,0.36695685,0,0,True
hardcase_rules,6,0.7,5,0,4449,4449,0,0,10035,0.25525907,1,0.36695685,0,0,True
threshold_only,6,0.7,99,0,4449,4449,0,0,10035,0.25525907,1,0.36695685,0,0,True
hardcase_rules,6,0.7,99,0,4449,4449,0,0,10035,0.25525907,1,0.36695685,0,0,True
threshold_only,6,0.85,2,0,4449,4449,0,0,11235,0.28578333,1,0.29125662,0,0,True
hardcase_rules,6,0.85,2,0,4449,4449,0,0,11235,0.28578333,1,0.29125662,0,0,True
threshold_only,6,0.85,5,0,4449,4449,0,0,10035,0.25525907,1,0.36695685,0,0,True
hardcase_rules,6,0.85,5,0,4449,4449,0,0,10035,0.25525907,1,0.36695685,0,0,True
threshold_only,6,0.85,99,0,4449,4449,0,0,10035,0.25525907,1,0.36695685,0,0,True
hardcase_rules,6,0.85,99,0,4449,4449,0,0,10035,0.25525907,1,0.36695685,0,0,True
threshold_only,6,0.95,2,0,4449,4449,0,0,11235,0.28578333,1,0.29125662,0,0,True
hardcase_rules,6,0.95,2,0,4449,4449,0,0,11235,0.28578333,1,0.29125662,0,0,True
threshold_only,6,0.95,5,0,4449,4449,0,0,10035,0.25525907,1,0.36695685,0,0,True
hardcase_rules,6,0.95,5,0,4449,4449,0,0,10035,0.25525907,1,0.36695685,0,0,True
threshold_only,6,0.95,99,0,4449,4449,0,0,10035,0.25525907,1,0.36695685,0,0,True
hardcase_rules,6,0.95,99,0,4449,4449,0,0,10035,0.25525907,1,0.36695685,0,0,True
threshold_only,6,0.99,2,0,4449,4449,0,0,11235,0.28578333,1,0.29125662,0,0,True
hardcase_rules,6,0.99,2,0,4449,4449,0,0,11235,0.28578333,1,0.29125662,0,0,True
threshold_only,6,0.99,5,0,4449,4449,0,0,10035,0.25525907,1,0.36695685,0,0,True
hardcase_rules,6,0.99,5,0,4449,4449,0,0,10035,0.25525907,1,0.36695685,0,0,True
threshold_only,6,0.99,99,0,4449,4449,0,0,10035,0.25525907,1,0.36695685,0,0,True
hardcase_rules,6,0.99,99,0,4449,4449,0,0,10035,0.25525907,1,0.36695685,0,0,True
threshold_only,8,0.5,2,0,4449,4449,0,0,11235,0.28578333,1,0.29125662,0,0,True
hardcase_rules,8,0.5,2,0,4449,4449,0,0,11235,0.28578333,1,0.29125662,0,0,True
threshold_only,8,0.5,5,0,4449,4449,0,0,10653,0.27097907,1,0.32797123,0,0,True
hardcase_rules,8,0.5,5,0,4449,4449,0,0,10653,0.27097907,1,0.32797123,0,0,True
threshold_only,8,0.5,99,0,4449,4449,0,0,10653,0.27097907,1,0.32797123,0,0,True
hardcase_rules,8,0.5,99,0,4449,4449,0,0,10653,0.27097907,1,0.32797123,0,0,True
threshold_only,8,0.7,2,0,4449,4449,0,0,11235,0.28578333,1,0.29125662,0,0,True
hardcase_rules,8,0.7,2,0,4449,4449,0,0,11235,0.28578333,1,0.29125662,0,0,True
threshold_only,8,0.7,5,0,4449,4449,0,0,10653,0.27097907,1,0.32797123,0,0,True
hardcase_rules,8,0.7,5,0,4449,4449,0,0,10653,0.27097907,1,0.32797123,0,0,True
threshold_only,8,0.7,99,0,4449,4449,0,0,10653,0.27097907,1,0.32797123,0,0,True
hardcase_rules,8,0.7,99,0,4449,4449,0,0,10653,0.27097907,1,0.32797123,0,0,True
threshold_only,8,0.85,2,0,4449,4449,0,0,11235,0.28578333,1,0.29125662,0,0,True
hardcase_rules,8,0.85,2,0,4449,4449,0,0,11235,0.28578333,1,0.29125662,0,0,True
threshold_only,8,0.85,5,0,4449,4449,0,0,10653,0.27097907,1,0.32797123,0,0,True
hardcase_rules,8,0.85,5,0,4449,4449,0,0,10653,0.27097907,1,0.32797123,0,0,True
threshold_only,8,0.85,99,0,4449,4449,0,0,10653,0.27097907,1,0.32797123,0,0,True
hardcase_rules,8,0.85,99,0,4449,4449,0,0,10653,0.27097907,1,0.32797123,0,0,True
threshold_only,8,0.95,2,0,4449,4449,0,0,11235,0.28578333,1,0.29125662,0,0,True
hardcase_rules,8,0.95,2,0,4449,4449,0,0,11235,0.28578333,1,0.29125662,0,0,True
threshold_only,8,0.95,5,0,4449,4449,0,0,10653,0.27097907,1,0.32797123,0,0,True
hardcase_rules,8,0.95,5,0,4449,4449,0,0,10653,0.27097907,1,0.32797123,0,0,True
threshold_only,8,0.95,99,0,4449,4449,0,0,10653,0.27097907,1,0.32797123,0,0,True
hardcase_rules,8,0.95,99,0,4449,4449,0,0,10653,0.27097907,1,0.32797123,0,0,True
threshold_only,8,0.99,2,0,4449,4449,0,0,11235,0.28578333,1,0.29125662,0,0,True
hardcase_rules,8,0.99,2,0,4449,4449,0,0,11235,0.28578333,1,0.29125662,0,0,True
threshold_only,8,0.99,5,0,4449,4449,0,0,10653,0.27097907,1,0.32797123,0,0,True
hardcase_rules,8,0.99,5,0,4449,4449,0,0,10653,0.27097907,1,0.32797123,0,0,True
threshold_only,8,0.99,99,0,4449,4449,0,0,10653,0.27097907,1,0.32797123,0,0,True
hardcase_rules,8,0.99,99,0,4449,4449,0,0,10653,0.27097907,1,0.32797123,0,0,True
threshold_only,10,0.5,2,0,4449,4449,0,0,11250,0.28616488,1,0.29031037,0,0,True
hardcase_rules,10,0.5,2,0,4449,4449,0,0,11250,0.28616488,1,0.29031037,0,0,True
threshold_only,10,0.5,5,0,4449,4449,0,0,10668,0.27136062,1,0.32702498,0,0,True
hardcase_rules,10,0.5,5,0,4449,4449,0,0,10668,0.27136062,1,0.32702498,0,0,True
threshold_only,10,0.5,99,0,4449,4449,0,0,10668,0.27136062,1,0.32702498,0,0,True
hardcase_rules,10,0.5,99,0,4449,4449,0,0,10668,0.27136062,1,0.32702498,0,0,True
threshold_only,10,0.7,2,0,4449,4449,0,0,11250,0.28616488,1,0.29031037,0,0,True
hardcase_rules,10,0.7,2,0,4449,4449,0,0,11250,0.28616488,1,0.29031037,0,0,True
threshold_only,10,0.7,5,0,4449,4449,0,0,10668,0.27136062,1,0.32702498,0,0,True
hardcase_rules,10,0.7,5,0,4449,4449,0,0,10668,0.27136062,1,0.32702498,0,0,True
threshold_only,10,0.7,99,0,4449,4449,0,0,10668,0.27136062,1,0.32702498,0,0,True
hardcase_rules,10,0.7,99,0,4449,4449,0,0,10668,0.27136062,1,0.32702498,0,0,True
threshold_only,10,0.85,2,0,4449,4449,0,0,11250,0.28616488,1,0.29031037,0,0,True
hardcase_rules,10,0.85,2,0,4449,4449,0,0,11250,0.28616488,1,0.29031037,0,0,True
threshold_only,10,0.85,5,0,4449,4449,0,0,10668,0.27136062,1,0.32702498,0,0,True
hardcase_rules,10,0.85,5,0,4449,4449,0,0,10668,0.27136062,1,0.32702498,0,0,True
threshold_only,10,0.85,99,0,4449,4449,0,0,10668,0.27136062,1,0.32702498,0,0,True
hardcase_rules,10,0.85,99,0,4449,4449,0,0,10668,0.27136062,1,0.32702498,0,0,True
threshold_only,10,0.95,2,0,4449,4449,0,0,11250,0.28616488,1,0.29031037,0,0,True
hardcase_rules,10,0.95,2,0,4449,4449,0,0,11250,0.28616488,1,0.29031037,0,0,True
threshold_only,10,0.95,5,0,4449,4449,0,0,10668,0.27136062,1,0.32702498,0,0,True
hardcase_rules,10,0.95,5,0,4449,4449,0,0,10668,0.27136062,1,0.32702498,0,0,True
threshold_only,10,0.95,99,0,4449,4449,0,0,10668,0.27136062,1,0.32702498,0,0,True
hardcase_rules,10,0.95,99,0,4449,4449,0,0,10668,0.27136062,1,0.32702498,0,0,True
threshold_only,10,0.99,2,0,4449,4449,0,0,11250,0.28616488,1,0.29031037,0,0,True
hardcase_rules,10,0.99,2,0,4449,4449,0,0,11250,0.28616488,1,0.29031037,0,0,True
threshold_only,10,0.99,5,0,4449,4449,0,0,10668,0.27136062,1,0.32702498,0,0,True
hardcase_rules,10,0.99,5,0,4449,4449,0,0,10668,0.27136062,1,0.32702498,0,0,True
threshold_only,10,0.99,99,0,4449,4449,0,0,10668,0.27136062,1,0.32702498,0,0,True
hardcase_rules,10,0.99,99,0,4449,4449,0,0,10668,0.27136062,1,0.32702498,0,0,True
