scenario,event_variant,edge,blocked_count,mean_wait_needed,max_wait_needed,max_queue_length,release_audit_rows
legacy_offset64_merge32,fifo_edge_queue_scheduler,18->22,12,6.278495714284353,8.303459999997358,4,12
legacy_offset64_merge32,fifo_edge_queue_scheduler,22->24,7,3.657142857142649,6.0,2,7
legacy_offset64_merge32,fifo_edge_queue_scheduler,24->27,1,0.4000000000014552,0.4000000000014552,2,1
legacy_offset64_merge32,fifo_edge_queue_scheduler,27->28,10,5.837032222219932,9.599999999998545,2,10
legacy_offset64_merge32,fifo_edge_queue_scheduler,4->17,2,1.4113600000009683,2.0086800000008225,2,2
legacy_offset64_merge32,fifo_edge_queue_scheduler,8->11,1,0.46666000000186614,0.46666000000186614,2,1
legacy_offset64_merge32,g3d_reroute_anchor,11->13,12,4.54605363636322,7.744670000000042,2,12
legacy_offset64_merge32,g3d_reroute_anchor,13->23,26,3.299431333333875,8.328750000000582,2,26
legacy_offset64_merge32,g3d_reroute_anchor,17->18,1,0.5333100000007107,0.5333100000007107,2,1
legacy_offset64_merge32,g3d_reroute_anchor,18->22,40,3.0253344444439856,7.2667899999978545,3,40
legacy_offset64_merge32,g3d_reroute_anchor,22->24,3,1.209106666666533,1.6227099999978236,2,3
legacy_offset64_merge32,g3d_reroute_anchor,27->28,29,3.435585769229664,7.465650000000096,2,29
legacy_offset64_merge32,g3d_reroute_anchor,4->17,4,0.9600200000008954,2.0086800000008225,2,4
legacy_offset64_merge32,g3d_reroute_anchor,46->36,23,4.35278349999835,9.447049999997034,2,23
legacy_offset64_merge32,g3d_reroute_anchor,8->11,1,0.46666000000186614,0.46666000000186614,2,1
legacy_offset64_merge32,hybrid_executable_teacher,11->13,6,3.6030200000009245,6.5850700000009965,2,6
legacy_offset64_merge32,hybrid_executable_teacher,13->23,26,4.281056666664274,6.63220999999794,3,26
legacy_offset64_merge32,hybrid_executable_teacher,17->18,1,0.5333100000007107,0.5333100000007107,2,1
legacy_offset64_merge32,hybrid_executable_teacher,18->22,12,6.278495714284353,8.303459999997358,4,12
legacy_offset64_merge32,hybrid_executable_teacher,22->24,7,3.657142857142649,6.0,2,7
legacy_offset64_merge32,hybrid_executable_teacher,24->27,1,0.4000000000014552,0.4000000000014552,2,1
legacy_offset64_merge32,hybrid_executable_teacher,27->28,10,5.837032222219932,9.599999999998545,2,10
legacy_offset64_merge32,hybrid_executable_teacher,4->17,2,1.4113600000009683,2.0086800000008225,2,2
legacy_offset64_merge32,hybrid_executable_teacher,46->36,1,0.598969999995461,0.598969999995461,2,1
legacy_offset64_merge32,hybrid_executable_teacher,8->11,1,0.46666000000186614,0.46666000000186614,2,1
legacy_offset64_repair32,capacity_wait_budget_10s,11->13,6,3.6030200000009245,6.5850700000009965,2,6
legacy_offset64_repair32,capacity_wait_budget_10s,13->23,2,1.178650000001653,1.8454600000022765,2,2
legacy_offset64_repair32,capacity_wait_budget_10s,17->18,1,0.5333100000007107,0.5333100000007107,2,1
legacy_offset64_repair32,capacity_wait_budget_10s,18->22,13,5.507067142855574,7.065599999998085,2,13
legacy_offset64_repair32,capacity_wait_budget_10s,22->24,7,4.571428571428571,8.0,2,7
legacy_offset64_repair32,capacity_wait_budget_10s,24->27,1,0.3332899999950314,0.3332899999950314,2,1
legacy_offset64_repair32,capacity_wait_budget_10s,27->28,13,8.508193333331494,9.599999999998545,2,13
legacy_offset64_repair32,capacity_wait_budget_10s,4->17,2,1.4113600000009683,2.0086800000008225,2,2
legacy_offset64_repair32,capacity_wait_budget_10s,8->11,1,0.46666000000186614,0.46666000000186614,2,1
legacy_offset64_repair32,capacity_wait_budget_30s,11->13,6,3.6030200000009245,6.5850700000009965,2,6
legacy_offset64_repair32,capacity_wait_budget_30s,13->23,2,1.178650000001653,1.8454600000022765,2,2
legacy_offset64_repair32,capacity_wait_budget_30s,17->18,1,0.5333100000007107,0.5333100000007107,2,1
legacy_offset64_repair32,capacity_wait_budget_30s,18->22,13,5.507067142855574,7.065599999998085,2,13
legacy_offset64_repair32,capacity_wait_budget_30s,22->24,7,4.571428571428571,8.0,2,7
legacy_offset64_repair32,capacity_wait_budget_30s,24->27,1,0.3332899999950314,0.3332899999950314,2,1
legacy_offset64_repair32,capacity_wait_budget_30s,27->28,13,8.508193333331494,9.599999999998545,2,13
legacy_offset64_repair32,capacity_wait_budget_30s,4->17,2,1.4113600000009683,2.0086800000008225,2,2
legacy_offset64_repair32,capacity_wait_budget_30s,8->11,1,0.46666000000186614,0.46666000000186614,2,1
legacy_offset64_repair32,capacity_wait_budget_5s,11->13,6,3.6030200000009245,6.5850700000009965,2,6
legacy_offset64_repair32,capacity_wait_budget_5s,13->23,2,1.178650000001653,1.8454600000022765,2,2
legacy_offset64_repair32,capacity_wait_budget_5s,17->18,1,0.5333100000007107,0.5333100000007107,2,1
legacy_offset64_repair32,capacity_wait_budget_5s,18->22,13,5.507067142855574,7.065599999998085,2,13
legacy_offset64_repair32,capacity_wait_budget_5s,22->24,6,4.0,6.0,2,6
legacy_offset64_repair32,capacity_wait_budget_5s,24->27,1,0.032209999993938254,0.032209999993938254,2,1
legacy_offset64_repair32,capacity_wait_budget_5s,27->28,13,8.478558888886457,9.599999999998545,2,13
legacy_offset64_repair32,capacity_wait_budget_5s,4->17,2,1.4113600000009683,2.0086800000008225,2,2
legacy_offset64_repair32,capacity_wait_budget_5s,46->36,1,0.9576799999995274,0.9576799999995274,2,1
legacy_offset64_repair32,capacity_wait_budget_5s,8->11,1,0.46666000000186614,0.46666000000186614,2,1
legacy_offset64_repair32,capacity_wait_budget_60s,11->13,6,3.6030200000009245,6.5850700000009965,2,6
legacy_offset64_repair32,capacity_wait_budget_60s,13->23,2,1.178650000001653,1.8454600000022765,2,2
legacy_offset64_repair32,capacity_wait_budget_60s,17->18,1,0.5333100000007107,0.5333100000007107,2,1
legacy_offset64_repair32,capacity_wait_budget_60s,18->22,13,5.507067142855574,7.065599999998085,2,13
legacy_offset64_repair32,capacity_wait_budget_60s,22->24,7,4.571428571428571,8.0,2,7
legacy_offset64_repair32,capacity_wait_budget_60s,24->27,1,0.3332899999950314,0.3332899999950314,2,1
legacy_offset64_repair32,capacity_wait_budget_60s,27->28,13,8.508193333331494,9.599999999998545,2,13
legacy_offset64_repair32,capacity_wait_budget_60s,4->17,2,1.4113600000009683,2.0086800000008225,2,2
legacy_offset64_repair32,capacity_wait_budget_60s,8->11,1,0.46666000000186614,0.46666000000186614,2,1
legacy_offset64_repair32,edge_release_wait_scheduler,11->13,10,3.6030200000009245,6.5850700000009965,2,10
legacy_offset64_repair32,edge_release_wait_scheduler,13->23,2,1.178650000001653,1.8454600000022765,2,2
legacy_offset64_repair32,edge_release_wait_scheduler,17->18,1,0.5333100000007107,0.5333100000007107,2,1
legacy_offset64_repair32,edge_release_wait_scheduler,18->22,13,5.507067142855574,7.065599999998085,2,13
legacy_offset64_repair32,edge_release_wait_scheduler,22->24,7,4.571428571428571,8.0,2,7
