ID EntryTime(s) STD(s) star end Unloader Loader
7418 26309.32718 29400 2 50 1 A1 
7419 26310.09293 31200 3 49 2 D1 
7420 26311.04998 28800 5 49 2 C2 
7421 26311.25577 30300 2 49 1 B1 
7422 26312.26737 29700 0 50 2 A1 
7423 26312.34972 36000 5 48 1 C1 
7424 26313.45003 30900 3 49 2 C2 
7425 26314.00377 32100 0 49 1 B1 
7426 26314.48069 29400 0 50 5 B2 
7427 26315.2007 30300 1 50 4 A1 
7428 26316.44394 32100 1 49 1 B1 
7429 26317.13068 28500 1 50 3 B2 
7430 26317.57647 34200 3 48 2 C1 
7431 26320.02069 28500 2 50 3 B2 
7432 26320.3497 29700 4 48 3 C1 
7433 26320.70184 30300 4 49 1 D1 
7434 26322.48444 29100 0 50 2 B2 
7435 26323.01199 34200 5 48 5 C1 
7436 26323.31527 29400 5 49 1 D1 
7437 26325.13069 28800 1 50 4 B2 
7438 26325.54857 31800 3 48 4 C1 
7439 26326.03524 30000 3 49 1 D1 
7440 26328.34546 31800 4 48 4 C1 
7441 26328.68569 30600 2 50 1 B2 
7442 26329.68754 29400 4 49 1 C2 
7443 26329.96049 28800 2 50 5 B1 
7444 26331.20457 30000 4 49 1 D1 
7445 26332.4929 31200 5 49 2 C2 
7446 26333.31601 29100 0 50 2 B2 
7447 26333.68304 38700 5 48 2 C1 
7448 26334.0352 30300 5 49 1 D1 
7449 26335.11563 32400 2 50 1 A1 
7450 26335.15939 28800 3 49 1 C2 
7451 26336.21519 34200 3 48 4 C1 
7452 26339.01207 29700 4 48 3 C1 
7453 26340.60233 30600 0 50 1 A1 
7454 26341.1473 28800 1 50 4 B2 
7455 26341.67888 29700 5 48 3 C1 
7456 26343.04996 28800 4 49 1 C2 
7457 26344.02068 28800 2 50 4 B2 
7458 26344.34974 29700 3 48 3 C1 
7459 26345.68754 29400 5 49 1 C2 
7460 26346.30363 28800 0 50 1 B2 
7461 26346.72878 32100 0 49 3 B1 
7462 26347.01632 29700 4 48 3 C1 
7463 26349.10161 30600 1 50 1 B2 
7464 26351.11878 30900 1 50 3 A1 
7465 26351.50233 30600 2 50 1 B2 
7466 26354.05896 30900 2 50 3 A1 
7467 26354.64449 31200 1 49 2 B1 
7468 26359.15947 30000 3 49 2 C2 
7469 26359.26099 31200 0 50 4 A1 
7470 26359.36512 32100 2 49 1 B1 
7471 26360.53794 32100 3 49 1 D1 
7472 26361.9605 32100 0 49 3 B1 
7473 26362.74736 30600 1 50 1 A1 
7474 26364.49292 28800 4 49 1 C2 
7475 26364.6271 32100 1 49 3 B1 
7476 26365.69699 29700 2 50 3 A1 
7477 26367.04996 28800 5 49 1 C2 
7478 26367.29377 32100 2 49 3 B1 
7479 26367.81403 28800 0 50 4 B2 
7480 26369.68751 29400 3 49 1 C2 
7481 26369.75754 32100 0 49 3 B1 
7482 26373.14735 28800 1 50 4 B2 
7483 26375.98269 29100 2 50 2 B2 
7484 26378.64934 28800 0 50 4 B2 
7485 26380.35429 31200 4 49 2 C2 
7486 26382.09295 30300 4 49 1 D1 
7487 26383.07049 29700 1 50 3 B1 
7488 26383.79736 28800 1 50 4 B2 
7489 26384.64855 32100 5 49 3 D1 
7490 26385.82011 28800 5 49 1 C2 
7491 26387.31529 30900 3 49 2 D1 
7492 26387.46402 38400 2 50 3 B2 
7493 26388.38338 30000 3 49 2 C2 
7494 26389.57639 31800 5 48 4 C1 
7495 26392.02067 28800 0 50 4 B2 
7496 26394.55053 30300 2 49 1 B1 
7497 26395.36843 30900 4 49 2 D1 
7498 26400.34553 31800 3 48 4 C1 
7499 26403.01647 31800 4 48 4 C1 
7500 26405.13093 28500 1 50 2 B2 
7501 26405.31111 32100 0 49 2 B1 
7502 26407.02102 30000 4 49 2 C2 
7503 26407.79736 28500 2 50 2 B2 
7504 26410.47885 29400 5 49 1 C2 
7505 26410.60383 32100 1 49 2 B1 
7506 26411.35231 34800 0 50 3 B2 
7507 26411.9413 29700 5 48 2 C1 
7508 26412.88723 31200 2 49 2 B1 
7509 26415.05013 31200 3 49 2 C2 
7510 26417.31802 27900 0 50 5 B1 
7511 26417.71661 29400 4 49 1 C2 
7512 26420.40377 31200 1 49 2 B1 
7513 26423.07049 31200 2 49 2 B1 
7514 26423.98268 28500 1 50 2 B2 
7515 26425.73711 31200 0 49 2 B1 
7516 26428.40377 31200 1 49 2 B1 
7517 26428.4867 31200 5 49 2 C2 
7518 26429.31602 29700 2 50 3 B2 
7519 26431.02085 30000 3 49 2 C2 
7520 26431.25578 31200 2 49 2 B1 
7521 26432.02069 28500 0 50 3 B2 
7522 26434.48445 28500 1 50 2 B2 
7523 26441.82616 35700 4 49 2 C2 
7524 26443.20462 30900 5 49 1 D1 
7525 26443.45569 36000 2 50 1 B2 
7526 26444.35424 29400 5 49 1 C2 
7527 26447.15347 30000 3 49 2 C2 
7528 26447.79734 28500 0 50 2 B2 
7529 26451.42628 29400 3 49 2 D1 
7530 26455.0705 28800 1 50 1 B1 
7531 26457.82616 30000 4 49 2 C2 
7532 26459.31511 30900 4 49 1 D1 
7533 26460.48669 29400 5 49 1 C2 
7534 26462.98348 31200 3 49 2 C2 
7535 26465.3492 29400 4 49 1 C2 
7536 26466.6873 29700 1 50 3 B2 
7537 26467.92978 30000 5 49 2 C2 
7538 26471.81402 31200 2 50 4 B2 
7539 26473.75383 32100 2 49 2 B1 
7540 26475.46397 31200 0 50 4 B2 
7541 26479.15951 30000 3 49 2 C2 
7542 26479.70984 29400 0 50 5 A1 
7543 26480.02069 29700 1 50 2 B2 
7544 26481.82004 29400 4 49 1 C2 
7545 26482.68736 29700 2 50 3 B2 
7546 26484.24173 29400 5 49 1 C2 
7547 26484.62711 32100 0 49 2 B1 
7548 26485.35402 29700 0 50 3 B2 
7549 26486.58271 29400 3 49 1 C2 
7550 26487.80668 29700 1 50 3 B2 
7551 26489.75378 32100 1 49 2 B1 
7552 26492.09446 27900 2 50 5 B1 
7553 26492.38334 29400 4 49 1 C2 
7554 26493.13068 30600 2 50 1 B2 
7555 26495.98269 31200 0 50 4 B2 
7556 26499.37135 29400 1 50 1 B2 
7557 26500.48684 29400 5 49 1 C2 
7558 26501.73809 29700 2 50 3 B2 
7559 26503.15957 29400 3 49 1 C2 
7560 26503.25582 29400 0 50 5 B1 
7561 26506.64935 29700 0 50 2 B2 
7562 26508.49285 37800 4 49 2 C2 
7563 26513.07736 32100 1 49 3 B1 
7564 26513.71669 29400 5 49 1 C2 
7565 26519.7973 29700 1 50 2 B2 
7566 26521.81997 29400 3 49 1 C2 
7567 26530.64936 29700 2 50 2 B2 
7568 26535.79735 29700 0 50 2 B2 
7569 26537.71668 29400 4 49 1 C2 
7570 26538.36658 28500 1 50 2 B2 
7571 26540.48668 31200 5 49 2 C2 
7572 26541.51305 29400 2 50 1 B2 
7573 26543.15949 39000 3 49 2 C2 
7574 26544.05049 29400 0 50 1 B2 
7575 26546.59927 29700 1 50 2 B2 
7576 26549.33046 29100 0 50 3 B1 
7577 26549.33472 29400 2 50 1 B2 
7578 26551.15957 31200 4 49 2 C2 
7579 26551.71481 29700 0 50 3 B2 
7580 26553.54907 30000 5 49 2 C2 
7581 26554.24759 32400 1 50 1 B2 
7582 26556.38337 31200 3 49 2 C2 
7583 26556.76582 29700 2 50 2 B2 
7584 26559.33639 29700 0 50 2 B2 
7585 26561.63501 28500 1 50 2 B2 
7586 26564.62716 30300 1 50 4 B1 
7587 26564.66971 29400 2 50 1 B2 
7588 26569.68753 29400 4 49 1 C2 
7589 26569.9225 28800 2 50 4 B1 
7590 26572.38326 31200 5 49 2 C2 
7591 26574.81121 31200 3 49 2 C2 
7592 26575.12966 29400 0 50 1 B2 
7593 26577.75713 32400 53 50 1 T 
7594 26581.77557 28500 1 50 2 B2 
7595 26583.90275 32400 53 50 1 T 
7596 26585.82606 31200 4 49 2 C2 
7597 26586.43365 29400 2 50 1 B2 
7598 26587.40913 29400 5 49 1 D1 
7599 26588.46623 29400 0 50 1 B2 
7600 26588.49288 31200 5 49 2 C2 
7601 26590.96163 35400 53 50 4 T 
7602 26593.29318 35400 53 50 4 T 
7603 26593.82615 35100 3 49 2 C2 
7604 26596.35418 29400 4 49 1 C2 
7605 26598.15708 35400 53 50 5 T 
7606 26599.04999 31200 5 49 2 C2 
7607 26601.96505 32400 1 50 1 B2 
7608 26604.38342 30900 3 49 1 C2 
7609 26604.6697 29400 2 50 1 B2 
7610 26606.72088 35400 53 50 5 T 
7611 26609.25178 33600 0 50 2 B2 
7612 26609.68763 30900 4 49 1 C2 
7613 26611.2845 35400 53 49 1 T 
7614 26612.40382 28500 0 50 3 B1 
7615 26613.53365 28800 1 50 5 B2 
7616 26615.15344 30900 5 49 1 C2 
7617 26615.97956 35400 53 49 1 T 
7618 26617.82001 30900 3 49 1 C2 
7619 26618.21204 29400 2 50 1 B2 
7620 26620.37664 29400 0 50 1 B2 
7621 26622.10846 35700 53 49 2 T 
7622 26623.00997 32400 53 48 5 T 
7623 26625.62935 29400 1 50 1 B2 
7624 26625.9605 28500 1 50 3 B1 
7625 26627.40903 35700 53 49 2 T 
7626 26628.29602 32400 53 48 5 T 
7627 26630.92392 32400 53 50 1 T 
7628 26630.92935 29100 2 50 3 B2 
7629 26631.02085 30900 4 49 1 C2 
7630 26632.49919 35700 53 49 1 T 
7631 26633.59602 28800 0 50 5 B2 
7632 26633.91963 32400 53 48 5 T 
7633 26636.26269 29700 1 50 3 B2 
7634 26637.38804 35700 53 49 1 T 
7635 26638.89602 28800 2 50 5 B2 
7636 26639.05009 30900 5 49 1 C2 
7637 26641.02257 28800 0 50 5 B2 
7638 26641.48406 32100 2 49 2 B1 
7639 26643.31857 29100 1 50 3 B2 
7640 26649.68753 30900 3 49 1 C2 
7641 26652.3832 30900 4 49 1 C2 
7642 26655.04994 30000 5 49 1 C2 
7643 26659.35064 29100 2 50 3 B2 
7644 26660.48673 30900 3 49 1 C2 
7645 26662.01732 28800 0 50 5 B2 
7646 26664.49889 28800 1 50 5 B2 
7647 26665.82018 30900 4 49 2 C2 
7648 26667.18198 38400 2 50 4 B2 
7649 26668.34909 30900 5 49 2 C2 
7650 26668.42049 28500 0 50 3 B1 
7651 26673.00326 28800 0 50 5 B2 
7652 26675.05437 35400 53 49 1 T 
7653 26677.08092 30900 1 50 3 B2 
7654 26681.47733 32400 53 48 5 T 
7655 26681.82001 30900 3 49 2 C2 
7656 26684.49283 30900 4 49 2 C2 
7657 26686.85778 35400 53 50 5 T 
7658 26686.94207 29400 5 49 1 C2 
7659 26689.01257 29100 2 50 3 B2 
7660 26689.68755 30900 3 49 2 C2 
7661 26689.73716 28500 1 50 3 B1 
7662 26691.43493 30900 0 50 3 B2 
7663 26694.30452 28800 1 50 5 B2 
7664 26696.51915 30900 2 50 3 B2 
7665 26703.02075 30900 4 49 2 C2 
7666 26706.05883 35700 5 49 1 C2 
7667 26711.1534 30900 3 49 2 C2 
7668 26712.72198 30600 0 50 5 B2 
7669 26713.68746 30000 4 49 2 C2 
7670 26717.83198 28800 1 50 5 B2 
7671 26719.15961 30000 5 49 1 C2 
7672 26719.25582 29100 2 50 2 B1 
7673 26720.5153 30600 2 50 5 B2 
7674 26721.82616 30900 3 49 2 C2 
7675 26723.38865 28800 0 50 5 B2 
7676 26724.48679 30000 4 49 2 C2 
7677 26725.48041 35700 53 49 2 T 
7678 26728.07025 30600 1 50 5 B2 
7679 26730.63186 29400 2 50 1 B2 
7680 26732.38334 30000 5 49 1 C2 
7681 26733.2145 28800 0 50 5 B2 
7682 26735.37121 29400 1 50 1 B2 
7683 26737.71667 30000 3 49 1 C2 
7684 26742.89579 32400 53 50 1 T 
7685 26743.15349 30000 4 49 1 C2 
7686 26745.82617 30000 5 49 1 C2 
7687 26747.16531 29400 2 50 1 B2 
7688 26749.83192 30600 0 50 5 B2 
7689 26752.68397 30600 1 50 5 B2 
7690 26758.01731 28800 2 50 5 B2 
7691 26761.81998 30000 3 49 1 C2 
7692 26767.15952 30000 4 49 1 C2 
7693 26772.42501 30300 5 49 1 C2 
7694 26773.83198 29400 0 50 1 B2 
7695 26776.39249 29400 1 50 1 B2 
7696 26779.37801 29400 2 50 1 B2 
7697 26780.49295 30300 3 49 1 C2 
7698 26781.79223 29400 0 50 1 B2 
7699 26781.98523 30300 53 49 1 T 
7700 26784.27975 35700 53 49 1 T 
7701 26784.65202 30000 53 49 1 T 
7702 26786.40028 29400 1 50 1 B2 
7703 26787.31864 30000 53 49 2 T 
7704 26788.38332 30000 4 49 1 C2 
7705 26788.89324 29400 2 50 1 B2 
7706 26789.98534 29400 53 50 1 T 
7707 26791.40206 29400 0 50 1 B2 
7708 26793.68757 30000 5 49 2 C2 
7709 26797.98517 31500 53 50 5 T 
7710 26799.85135 29400 1 50 1 B2 
7711 26800.65192 34800 53 50 3 T 
7712 26801.82625 30000 3 49 2 C2 
7713 26802.31506 29400 2 50 1 B2 
7714 26803.31849 30300 53 50 4 T 
7715 26804.35417 30000 4 49 2 C2 
7716 26804.97802 31500 0 50 5 B2 
7717 26805.9854 33600 53 50 2 T 
7718 26807.04993 30000 5 49 2 C2 
7719 26810.51802 29400 1 50 1 B2 
7720 26812.49274 30000 3 49 2 C2 
7721 26812.80097 29400 2 50 1 B2 
7722 26823.07049 29400 0 50 1 B1 
7723 26825.82611 29400 4 49 1 C2 
7724 26826.60378 32100 1 49 2 B1 
7725 26828.28389 30900 5 49 2 C2 
7726 26830.59039 29400 3 49 1 C2 
7727 26831.81335 29400 0 50 1 B2 
7728 26833.71672 29400 4 49 1 C2 
7729 26834.48001 28800 1 50 4 B2 
7730 26836.75274 30900 2 50 3 B2 
7731 26839.62749 28800 0 50 4 B2 
7732 26841.68753 30000 5 49 2 C2 
7733 26842.16379 31500 1 50 5 B2 
7734 26842.62549 31200 2 49 2 B1 
7735 26844.67239 28800 2 50 4 B2 
7736 26845.98173 34200 3 48 1 D1 
7737 26846.76866 35400 53 50 4 T 
7738 26847.25577 32100 0 49 2 B1 
7739 26847.47098 32100 53 49 3 T 
7740 26848.34558 34200 3 48 4 C1 
7741 26849.36924 31500 0 50 5 B2 
7742 26849.82009 30300 3 49 1 C2 
7743 26849.9225 32100 1 49 2 B1 
7744 26851.49842 31500 1 50 5 B2 
7745 26852.38337 30300 4 49 1 C2 
7746 26852.58911 32100 2 49 2 B1 
7747 26853.99779 33600 2 50 2 B2 
7748 26854.03516 31200 4 49 2 D1 
7749 26856.75958 32100 5 49 1 D1 
7750 26857.9605 29700 0 50 2 B1 
7751 26858.13759 30300 53 49 1 T 
7752 26859.36852 31800 3 48 4 D1 
7753 26860.06277 28800 0 50 4 B2 
7754 26860.35421 30300 5 49 1 C2 
7755 26860.41313 32100 1 49 2 B1 
7756 26860.80407 32100 53 49 2 T 
7757 26861.57638 34200 4 48 2 C1 
7758 26862.54441 31500 1 50 5 B2 
7759 26863.29382 32100 2 49 2 B1 
7760 26863.47069 32100 53 49 1 T 
7761 26864.24303 34200 5 48 5 C1 
7762 26864.75955 32400 4 48 5 D1 
7763 26867.01646 34200 3 48 5 C1 
7764 26868.48671 30300 3 49 1 C2 
7765 26869.57631 31800 4 48 4 C1 
7766 26870.09297 31200 5 49 2 D1 
7767 26871.04987 30300 4 49 1 C2 
7768 26871.47064 31800 53 48 4 T 
7769 26872.34984 34200 5 48 4 C1 
7770 26874.90978 31800 3 48 4 C1 
7771 26875.42622 30000 3 49 2 D1 
7772 26875.87749 31500 2 50 5 B2 
7773 26876.38329 29400 5 49 2 C2 
7774 26876.42049 29100 0 50 4 B1 
7775 26876.45497 30300 1 50 4 A1 
7776 26877.68329 31800 4 48 4 C1 
7777 26879.15351 38400 3 49 2 C2 
7778 26879.42871 30600 2 50 1 A1 
7779 26880.21516 31800 5 48 4 C1 
7780 26880.70189 30000 4 49 1 D1 
7781 26882.20249 30300 0 50 4 B2 
7782 26882.83127 30900 0 50 3 A1 
7783 26882.90969 31800 3 48 4 C1 
7784 26884.35421 30300 4 49 1 C2 
7785 26884.72465 30600 1 50 2 B2 
7786 26885.54857 34200 4 48 2 C1 
7787 26886.32593 30600 1 50 5 A1 
7788 26889.81115 31200 2 50 4 A1 
7789 26890.62544 31200 1 49 2 B1 
7790 26892.74564 33600 0 50 2 A1 
7791 26894.76748 31500 2 50 5 B2 
7792 26895.15336 30300 5 49 1 C2 
7793 26897.92244 31200 2 49 2 B1 
7794 26898.09911 30300 0 50 4 B2 
7795 26898.90465 32400 1 50 1 A1 
7796 26900.35427 29400 3 49 2 C2 
7797 26900.48781 30600 1 50 2 B2 
7798 26900.62716 31200 0 49 2 B1 
7799 26902.06719 30600 2 50 1 A1 
7800 26903.04486 30600 2 50 2 B2 
7801 26903.29377 31200 1 49 2 B1 
7802 26905.04093 30600 0 50 2 A1 
7803 26905.96044 31200 2 49 2 B1 
7804 26907.31519 30300 5 49 1 D1 
7805 26908.35428 29400 4 49 2 C2 
7806 26908.41315 31200 0 49 2 B1 
7807 26909.87129 31200 3 49 2 D1 
7808 26911.75426 30600 1 50 2 A1 
7809 26912.07049 31200 1 49 2 B1 
7810 26913.22748 30600 0 50 2 B2 
7811 26913.38102 34200 53 48 1 T 
7812 26915.15682 30900 2 50 3 A1 
7813 26915.3685 30900 4 49 1 D1 
7814 26916.10077 30600 1 50 2 B2 
7815 26916.40383 29400 2 50 1 B1 
7816 26918.76748 29100 2 50 2 B2 
7817 26919.08711 31200 0 49 2 B1 
7818 26920.21521 32400 5 48 5 C1 
7819 26921.23124 30300 0 50 4 B2 
7820 26923.20467 30900 5 49 2 D1 
7821 26923.76441 30900 1 50 3 B2 
7822 26925.54855 34200 3 48 1 C1 
7823 26927.15951 29400 5 49 1 C2 
7824 26928.21512 34200 4 48 3 C1 
7825 26929.82002 29400 3 49 2 C2 
7826 26930.90995 40500 5 48 3 C1 
7827 26931.20455 30900 3 49 1 D1 
7828 26932.24172 38700 4 49 1 C2 
7829 26932.58916 28500 1 50 2 B1 
7830 26933.54845 32400 3 48 5 C1 
7831 26934.58268 29400 5 49 2 C2 
7832 26936.34547 32400 4 48 5 C1 
7833 26937.20356 30000 3 49 1 C2 
7834 26937.72156 29100 2 50 2 B2 
7835 26938.88173 32400 5 48 5 C1 
7836 26940.2133 30300 0 50 4 B2 
7837 26940.35409 30000 4 49 1 C2 
7838 26941.98191 31200 4 49 2 D1 
7839 26942.75236 31500 1 50 5 B2 
7840 26944.24311 34200 3 48 1 C1 
7841 26945.82004 29400 5 49 2 C2 
7842 26946.73711 32100 2 49 1 B1 
7843 26947.01211 34200 4 48 1 C1 
7844 26948.49281 29400 3 49 1 C2 
7845 26950.3761 29400 2 50 1 B2 
7846 26951.08716 32100 0 49 1 B1 
7847 26951.15348 30900 4 49 2 C2 
7848 26953.28833 30300 0 50 4 B2 
7849 26955.73125 31200 0 50 4 A1 
7850 26955.90682 30300 1 50 4 B2 
7851 26958.66458 31500 1 50 5 A1 
7852 26958.76749 29100 2 50 2 B2 
7853 26959.07044 40500 1 49 1 B1 
7854 26961.73716 32100 2 49 1 B1 
7855 26963.88458 31500 2 50 5 A1 
7856 26964.40378 31200 0 49 2 B1 
7857 26966.54415 29100 0 50 4 B2 
7858 26967.3371 32100 1 49 1 B1 
7859 26969.21077 30300 1 50 4 B2 
7860 26969.77728 28500 2 50 2 B1 
7861 26971.36857 32100 5 49 3 D1 
7862 26972.06281 29100 2 50 2 B2 
7863 26974.72949 29400 0 50 5 B2 
7864 26975.15348 29400 5 49 2 C2 
7865 26976.06216 32100 0 49 1 B1 
7866 26978.32973 30000 3 49 2 C2 
7867 26986.09915 30600 1 50 1 B2 
7868 26991.05001 29400 4 49 2 C2 
7869 26993.22749 30300 2 50 4 B2 
7870 26993.81995 39300 5 49 1 C2 
7871 26995.87749 29100 0 50 4 B2 
7872 26998.72949 29400 1 50 5 B2 
7873 26999.05011 30900 3 49 2 C2 
7874 27000.75962 30900 3 49 2 D1 
7875 27001.77243 35700 4 49 2 C2 
7876 27002.33144 32100 1 49 2 B1 
7877 27005.39545 32100 2 49 3 B1 
7878 27009.71668 29400 5 49 2 C2 
7879 27009.75383 35400 0 49 1 B1 
7880 27012.18415 35400 2 50 5 B2 
7881 27012.49288 30300 3 49 1 C2 
7882 27012.6271 32100 1 49 3 B1 
7883 27015.09087 32100 2 49 1 B1 
7884 27015.6972 29400 0 50 5 B2 
7885 27017.92249 32100 0 49 3 B1 
7886 27018.11142 29400 1 50 5 B2 
7887 27020.42044 35100 1 49 3 B1 
7888 27020.64625 29100 2 50 4 B2 
7889 27023.19156 29400 0 50 5 B2 
7890 27023.97783 32100 2 49 3 B1 
7891 27025.69324 29700 1 50 3 B2 
7892 27028.58916 28500 0 50 2 B1 
7893 27028.93883 30600 2 50 1 B2 
7894 27031.02087 30000 4 49 1 C2 
7895 27031.29378 39300 1 49 3 B1 
7896 27031.45976 29100 0 50 4 B2 
7897 27033.68454 30600 1 50 1 B2 
7898 27036.49291 30900 5 49 2 C2 
7899 27041.04937 31800 5 48 4 C1 
7900 27041.71664 30900 3 49 2 C2 
7901 27044.77654 29400 2 50 1 B2 
7902 27047.02088 30000 4 49 1 C2 
7903 27047.85238 30600 0 50 1 B2 
7904 27050.2531 29400 1 50 5 B2 
7905 27051.57667 30300 4 49 1 D1 
7906 27052.3833 30900 5 49 2 C2 
7907 27052.64747 29700 2 50 3 B2 
7908 27055.15935 40500 3 49 1 C2 
7909 27055.61387 28800 0 50 1 B2 
7910 27055.97778 30300 0 49 1 B1 
7911 27057.82609 30300 4 49 1 C2 
7912 27060.57295 29400 5 49 2 C2 
7913 27065.68762 30300 3 49 1 C2 
7914 27065.9225 32100 1 49 3 B1 
7915 27068.38337 30900 4 49 1 C2 
7916 27068.58911 32100 2 49 3 B1 
7917 27070.7992 29700 1 50 3 B2 
7918 27071.25577 32100 0 49 3 B1 
7919 27073.04496 32400 3 48 5 C1 
7920 27073.68755 30900 5 49 2 C2 
7921 27076.13249 29700 2 50 3 B2 
7922 27076.67049 30300 1 49 1 B1 
7923 27078.83719 29700 0 50 3 B2 
7924 27079.93716 30300 2 49 1 B1 
7925 27081.46587 31200 1 50 4 B2 
7926 27082.23716 29400 0 50 5 B1 
7927 27087.52116 28800 2 50 1 B2 
7928 27089.89699 29700 0 50 3 B2 
7929 27092.40378 30300 1 49 1 B1 
7930 27092.46266 29400 1 50 5 B2 
7931 27092.48673 30900 3 49 2 C2 
7932 27094.83649 29700 2 50 3 B2 
7933 27095.05005 36600 4 49 1 C2 
7934 27096.2055 34200 4 48 3 C1 
7935 27097.68751 30900 5 49 1 C2 
7936 27099.13388 30600 0 50 5 A1 
7937 27103.08716 29400 2 50 1 B1 
7938 27105.2808 28800 0 50 1 B2 
7939 27105.82003 30900 3 49 2 C2 
7940 27108.3832 30900 4 49 1 C2 
7941 27111.04994 30900 5 49 1 C2 
7942 27111.60554 29700 1 50 2 B2 
7943 27114.12648 30600 2 50 1 B2 
7944 27116.48682 30900 3 49 1 C2 
7945 27117.69102 29400 0 50 5 B2 
7946 27119.02082 30900 4 49 1 C2 
7947 27120.15163 32100 0 49 1 B1 
7948 27124.98749 35100 5 49 2 C2 
7949 27129.82002 30300 3 49 1 C2 
7950 27131.94719 32400 1 50 1 B2 
7951 27132.35423 31200 4 49 2 C2 
7952 27137.50382 32400 2 50 1 B2 
7953 27138.22139 31500 1 50 5 A1 
7954 27140.17054 34800 0 50 3 B2 
7955 27140.40383 29700 1 50 3 B1 
7956 27142.79743 28500 2 50 2 B1 
7957 27142.79921 31200 1 50 4 B2 
7958 27146.16883 29700 2 50 2 B2 
7959 27146.64111 30000 5 49 1 C2 
7960 27148.54892 29700 0 50 2 B2 
7961 27151.0817 31200 1 50 4 B2 
7962 27156.17054 34800 2 50 3 B2 
7963 27156.49283 35700 3 49 1 C2 
7964 27157.9125 32100 5 49 2 D1 
7965 27159.02091 30900 4 49 1 C2 
7966 27161.82001 31200 5 49 2 C2 
7967 27161.92249 29400 0 50 1 B1 
7968 27164.49284 30300 3 49 1 C2 
7969 27167.02072 31200 4 49 2 C2 
7970 27169.29721 29700 0 50 2 B2 
7971 27169.68747 31200 5 49 2 C2 
7972 27172.13314 30900 3 49 2 C2 
7973 27174.6398 31200 4 49 2 C2 
7974 27177.18264 31200 5 49 2 C2 
7975 27178.18787 30300 1 50 4 B2 
7976 27180.2966 36000 53 48 1 T 
7977 27180.49279 30900 3 49 1 C2 
7978 27182.61387 30300 2 50 4 B2 
7979 27185.09319 36000 53 48 1 T 
7980 27187.95708 36000 53 50 1 T 
7981 27190.77001 29700 0 50 2 B2 
7982 27193.32313 29700 1 50 2 B2 
7983 27193.75383 29400 1 50 1 B1 
7984 27195.79673 36000 53 50 1 T 
7985 27196.48681 30000 4 49 2 C2 
7986 27198.27743 29700 2 50 2 B2 
7987 27200.9441 37200 0 50 2 B2 
7988 27203.01894 35400 1 50 4 B2 
7989 27205.12751 30300 2 50 4 B2 
7990 27207.05 37800 5 49 2 C2 
7991 27208.40603 34800 0 50 3 B2 
7992 27211.95103 30300 1 50 4 B2 
7993 27212.62716 28500 2 50 3 B1 
7994 27220.13254 30300 2 50 4 B2 
7995 27220.48676 31200 3 49 2 C2 
7996 27220.83188 30300 0 49 1 B1 
7997 27223.04999 30900 4 49 1 C2 
7998 27225.2972 29700 0 50 2 B2 
7999 27225.82613 39000 5 49 2 C2 
8000 27228.49281 38100 3 49 1 C2 
8001 27231.15326 30000 4 49 2 C2 
8002 27233.82002 30000 5 49 2 C2 
8003 27235.96387 30600 1 50 5 B2 
8004 27236.38341 30000 3 49 2 C2 
8005 27239.04999 31200 4 49 2 C2 
8006 27239.50221 33600 2 50 2 B2 
8007 27241.88204 29700 0 50 3 B2 
8008 27247.21068 30600 1 50 5 B2 
8009 27247.25583 28500 1 50 3 B1 
8010 27249.74613 30300 2 50 4 B2 
8011 27254.8372 30600 0 50 5 B2 
8012 27257.50388 30600 1 50 5 B2 
8013 27260.13253 30600 2 50 5 B2 
8014 27265.29721 30600 0 50 5 B2 
8015 27265.73716 28500 2 50 3 B1 
8016 27268.35422 31200 5 49 2 C2 
8017 27268.93883 30300 1 50 4 B2 
8018 27271.46567 31200 2 50 4 B2 
8019 27274.45152 36000 0 50 1 B2 
8020 27276.82654 38400 1 50 4 B2 
8021 27277.40615 36600 0 49 2 B1 
8022 27284.19111 36000 53 48 1 T 
8023 27284.3542 31200 3 49 2 C2 
8024 27286.68911 36000 53 50 1 T 
8025 27292.13254 29400 2 50 5 B2 
8026 27292.35422 40200 4 49 2 C2 
8027 27294.40526 32400 0 50 1 B2 
8028 27297.28002 30600 1 50 1 B2 
8029 27299.84016 30600 2 50 5 B2 
8030 27302.79915 31200 0 50 4 B2 
8031 27305.29721 30600 1 50 5 B2 
8032 27313.28054 29400 2 50 5 B2 
8033 27319.08716 28800 2 50 4 B1 
8034 27321.46587 31200 0 50 4 B2 
8035 27324.17053 31200 1 50 4 B2 
8036 27327.52116 33600 2 50 2 B2 
8037 27329.79375 38400 0 50 3 B2 
8038 27332.37916 28800 1 50 1 B2 
8039 27334.94831 29400 2 50 5 B2 
8040 27350.8372 31200 0 50 4 B2 
8041 27351.0705 28800 0 50 4 B1 
8042 27353.50387 30900 1 50 3 B2 
8043 27356.93887 30900 2 50 3 B2 
8044 27359.46103 29400 0 50 5 B2 
8045 27361.76727 30900 1 50 3 B2 
8046 27366.83715 30600 2 50 1 B2 
8047 27369.30095 30600 0 50 1 B2 
8048 27372.17054 30600 1 50 1 B2 
8049 27380.83549 30600 2 50 1 B2 
8050 27384.65194 30900 53 49 1 T 
8051 27385.29721 30900 0 50 3 B2 
8052 27385.92249 30600 1 50 5 B1 
8053 27387.9472 30600 1 50 1 B2 
8054 27389.98518 32400 53 50 1 T 
